Cart_Id,Customer_ID,Created_At
HK32U8VH6Q,CUST046657,2025-01-17
BH33I6SV1W,CUST369743,2025-01-10
HB36I9RL1Q,CUST513148,2024-03-30
SU26K4GR4V,CUST492086,2025-06-22
QK73A5FI6U,CUST643477,2025-02-20
GE73G1TE9T,CUST075864,2025-05-25
DO52F2EK6D,CUST128049,2024-03-31
OA89Z7AY4V,CUST333991,2025-01-08
VN49P8PK4W,CUST677441,2024-08-21
QZ92Q2OB8P,CUST233932,2025-06-09
ZE56E1MO7N,CUST391699,2024-05-07
OL97J0TQ2H,CUST995272,2024-12-06
PS70V8ZL7S,CUST939706,2024-07-14
VP45P2DD0S,CUST817952,2024-03-23
SX45N9KV9X,CUST338183,2024-10-03
EZ29U8UT0E,CUST004050,2025-05-30
DY96G4FK8T,CUST356523,2024-08-11
VN87U8PV1J,CUST552648,2024-11-06
NG39T9JN0W,CUST493528,2024-02-08
YD49K2GB8M,CUST964034,2023-08-01
AW82R0DA5T,CUST002660,2023-11-25
QS17I0IR2T,CUST657240,2025-05-18
XX80B5EO3I,CUST684833,2024-02-03
HA84I9ZB6F,CUST651624,2024-02-20
FJ92V1SN1M,CUST365687,2024-10-19
XI05K7UT1M,CUST757676,2023-11-22
PJ57B9PM3C,CUST759366,2024-12-04
OO33T1IZ9I,CUST555018,2024-03-27
AC34X2NO7Z,CUST783169,2024-09-19
SY41P6VP0X,CUST065535,2024-12-07
MK29O6OD8H,CUST251420,2023-08-31
ZP11S6UK8F,CUST929159,2024-10-05
VF92E7ED3Z,CUST188632,2025-03-30
GU81W0PY0H,CUST215598,2023-10-31
ZJ04Q7SK7N,CUST584723,2024-12-31
TE08U5WI9K,CUST045016,2024-06-17
ZJ39L8VH5P,CUST186057,2025-03-31
KE16Y5UB9X,CUST095874,2024-03-14
PY64V6SQ9U,CUST532498,2023-08-22
YA10J3DT2V,CUST132364,2023-09-12
RF04M1LG1X,CUST803094,2025-04-29
WU63G4XK3Q,CUST115503,2024-06-22
NI32U9GM4W,CUST933458,2023-09-22
AR42R2JF9E,CUST495719,2024-10-03
BL10J2ZZ9T,CUST530573,2024-10-10
ZR40A3YZ8C,CUST397947,2024-10-01
AU14J7LN4S,CUST989493,2024-07-18
UI36K4JP0R,CUST388058,2025-05-02
RF01H1FN6Q,CUST343503,2024-06-25
YA66J0KF4F,CUST608768,2024-11-22
CV46V5FT9Z,CUST017086,2024-02-18
DY90R4LG8C,CUST716782,2024-07-16
IH59G9SF4R,CUST263290,2025-06-03
KC24E0PE8L,CUST718136,2024-05-14
YC25L1GD3S,CUST992106,2023-07-24
DP24M0TY4X,CUST478558,2023-11-14
DO91F8LZ8A,CUST323961,2024-09-29
RR33R3FI6I,CUST188191,2024-09-14
MF45P2UJ4F,CUST907944,2024-07-07
EM28C3XD3G,CUST454927,2024-07-29
TM12J1CK7E,CUST967234,2025-06-18
ZM44Y5EV3T,CUST070710,2025-02-22
XC66R4MY4H,CUST357307,2024-10-23
TD75I9SV8D,CUST572734,2024-02-15
NS01D5AK1D,CUST168069,2024-07-12
NT49I2DA3E,CUST360427,2023-11-04
BT17U2XM9O,CUST667670,2023-07-17
IA78F3NW4C,CUST376939,2024-02-04
GP69V0GU9M,CUST069569,2024-11-19
MW93I7ZE5F,CUST214593,2023-11-13
SP46N8GW5E,CUST922217,2024-10-11
BB75E7TZ0S,CUST775092,2024-04-21
CT23G4AE7Y,CUST043911,2024-06-23
IC10L8HW2K,CUST302717,2025-05-18
SQ13X6KH0G,CUST651823,2024-05-06
MK86S3ER9E,CUST714158,2025-03-16
YN28C2MV2F,CUST526754,2023-09-21
PY35O3EK5Z,CUST697866,2024-07-06
EC41B0JX3W,CUST909609,2024-02-26
PO56X4EJ7Y,CUST718256,2023-09-23
ZA60H8ND3A,CUST617974,2023-09-08
NG30A6TA3B,CUST772003,2025-06-12
NE20N8AC3M,CUST007841,2024-12-06
HB12W1BX7T,CUST514652,2025-04-09
IG32O9QG0A,CUST590390,2024-02-06
RQ38M2RZ7Q,CUST209827,2024-01-10
PL78L7QX6K,CUST279695,2025-05-27
HA88W0KF7V,CUST810999,2023-08-03
SJ99B2UW5Y,CUST766514,2024-11-16
JV58M0NA5F,CUST430950,2023-08-26
LR82C4KY1W,CUST866896,2024-04-29
SP94P7YR4Q,CUST362407,2023-07-28
FR07Z1DH6K,CUST244633,2023-10-27
QH70N8LP8E,CUST883223,2025-02-27
AZ34M9AN4N,CUST014250,2024-05-20
GP41T6QO3Z,CUST669437,2024-06-25
SE64T5ZC3C,CUST400674,2024-02-28
YS27K8AB7J,CUST734453,2024-03-27
KN15T6KF0Y,CUST865412,2024-01-04
BI19K8QC3U,CUST783367,2025-04-22
MQ03Q8BE1M,CUST006730,2025-02-16
IL77J5DK7I,CUST541542,2023-11-16
FZ01C0JI1X,CUST608485,2024-08-02
WI27V5UI3I,CUST375071,2024-02-06
MD08V9DT9W,CUST272117,2025-06-13
BW46K6GU2D,CUST388151,2024-04-20
CP11X8GN5O,CUST917168,2024-09-02
IU84K1YH2G,CUST276609,2025-03-04
RR00A5YT1R,CUST697903,2023-09-23
CO59M1NA9Y,CUST774701,2023-09-19
UY87L7YM7M,CUST716950,2025-04-08
PM58V3NX6M,CUST709296,2024-10-31
BS38H7VQ1D,CUST453860,2023-09-25
EG73V1AN8N,CUST577856,2024-06-18
AJ48A1VR5V,CUST725103,2024-02-01
NJ93J2JZ9E,CUST995971,2023-09-19
PI39T3QK9R,CUST087232,2024-11-01
AP57K9QA6O,CUST728785,2024-06-07
PO06A9FK6N,CUST332364,2024-02-21
GF30M8GT6H,CUST637817,2025-01-30
GF56V1RK5T,CUST650551,2023-08-03
