Cart_Item_Id,Cart_Id,Product_Id,Quantity
ho0V1E0K5T2V,HK32U8VH6Q,100000,7
IG6P7Y3Z0D1R,BH33I6SV1W,100001,6
JN6P8A2L7K6S,HB36I9RL1Q,100002,6
LE5F4F3Q0H0A,SU26K4GR4V,100003,50
GO7C7F0C1A0C,QK73A5FI6U,100004,7
IT3Q1R7Q0L0F,GE73G1TE9T,100005,1
NV9D4Z9W3L5P,DO52F2EK6D,100006,7
BV0U6D7W6J1I,OA89Z7AY4V,100007,50
JW3Q9A0E3R1S,VN49P8PK4W,100008,3
AW7R4O9I0U6H,QZ92Q2OB8P,100009,1
LE2R0S2N8X4P,ZE56E1MO7N,100010,6
CF7L7T8J8D9T,OL97J0TQ2H,100011,50
TR9R5R9Q8I6B,PS70V8ZL7S,100012,6
CR3V0E1T1S6I,VP45P2DD0S,100013,3
UV5P0X0R7A5L,SX45N9KV9X,100014,3
FO2G1S7D9P4J,EZ29U8UT0E,100015,1
JN2D6X6W4Q5J,DY96G4FK8T,100016,50
PW2X9L1G1P9D,VN87U8PV1J,100017,3
VD2Z2R8J0F4Z,NG39T9JN0W,100018,1
QS2F7U2H9N4C,YD49K2GB8M,100019,3
YP6G2E0R6I2Z,AW82R0DA5T,100020,3
KH5U9S5N9D9H,QS17I0IR2T,100021,3
TJ9T3L0D9J0B,XX80B5EO3I,100022,3
LG8L2F4Q0W1L,HA84I9ZB6F,100023,7
UN1S4T2V8K5N,FJ92V1SN1M,100024,7
VA4F0X6S1I1D,XI05K7UT1M,100025,6
OK0D8M8G7B1A,PJ57B9PM3C,100026,1
EN0N6T5Z3X9K,OO33T1IZ9I,100027,50
AJ8V1Y7L7E8J,AC34X2NO7Z,100028,7
OA1P5V9S2W6R,SY41P6VP0X,100029,7
XU0U5W3C2M5A,MK29O6OD8H,100030,6
RH3I7E6M9A0Z,ZP11S6UK8F,100031,50
IV1K3S3V5I6K,VF92E7ED3Z,100032,1
VN2B7Z1H3N6U,GU81W0PY0H,100033,3
SP7V2U7S8J2X,ZJ04Q7SK7N,100034,1
TY1W0R2I0Y0E,TE08U5WI9K,100035,7
XS1J3T0T6V7Z,ZJ39L8VH5P,100036,6
FH1S4I6A4F1Q,KE16Y5UB9X,100037,6
VH7U6L3O1P5F,PY64V6SQ9U,100038,7
JK2V9Z0I8B1B,YA10J3DT2V,100039,3
OC8J4L0Z7C3H,RF04M1LG1X,100040,6
SO8S9W7P5O4M,WU63G4XK3Q,100041,1
IZ5Z1O9E6X6C,NI32U9GM4W,100042,3
GJ7Q1D4J4Y6A,AR42R2JF9E,100043,7
FP3F4R1D6P7A,BL10J2ZZ9T,100044,1
WS1V8Y6D9X3L,ZR40A3YZ8C,100045,1
IT3H9O1G1V1F,AU14J7LN4S,100046,7
NL6G1N6E4O5H,UI36K4JP0R,100047,7
UU9M2Z7L0S6J,RF01H1FN6Q,100048,1
FA0G6C1G6Y0V,YA66J0KF4F,100049,7
LR6T3A1P5N1Q,CV46V5FT9Z,100050,1
IU9J0K9D6W0E,DY90R4LG8C,100051,6
KO3C3P7U6C3N,IH59G9SF4R,100052,1
LV5N5O7Y7R5N,KC24E0PE8L,100053,6
YP0I1H5W6S4I,YC25L1GD3S,100054,7
LS6G1N2W9T2P,DP24M0TY4X,100055,3
SL6U5B8Z2M1U,DO91F8LZ8A,100056,1
GH2S8X3X6M0U,RR33R3FI6I,100057,1
IN8E8R9G3K0D,MF45P2UJ4F,100058,50
XO6F1Z8N3K7A,EM28C3XD3G,100059,1
WH7Q9W1M0S6V,TM12J1CK7E,100060,7
YZ9N5T3E7Z4I,ZM44Y5EV3T,100061,6
ED2B9H4W7I2O,XC66R4MY4H,100062,3
BS6F3Z7Y7I7U,TD75I9SV8D,100063,3
KV5P7V9X1L4O,NS01D5AK1D,100064,3
HZ4M8M5A8C0P,NT49I2DA3E,100065,7
BY1V5I5J8P0L,BT17U2XM9O,100066,50
DX1J6N2Z9D7W,IA78F3NW4C,100067,50
GM7E8B0M8Q3W,GP69V0GU9M,100068,3
IM4P3Y6V9I8E,MW93I7ZE5F,100069,1
FB1G2Y1J3T1Q,SP46N8GW5E,100070,3
UU6N2Y6A2J2B,BB75E7TZ0S,100071,50
LY1X0N4T5L1E,CT23G4AE7Y,100072,1
ZU8H3G5Y4J5T,IC10L8HW2K,100073,1
PR8E7U2Y1F2Z,SQ13X6KH0G,100074,3
HG9X4I5T0Y5J,MK86S3ER9E,100075,1
LP7P7A4M0P1B,YN28C2MV2F,100076,7
PK8D8D2U5V7V,PY35O3EK5Z,100077,3
UM2M0W1A0L3A,EC41B0JX3W,100078,6
IE9R6F7M9N7Y,PO56X4EJ7Y,100079,3
XU1Q0L9V1D0D,ZA60H8ND3A,100080,6
AM9J2R2H8K9F,NG30A6TA3B,100081,6
JI5H8F6S4W1I,NE20N8AC3M,100082,7
SC9E8V6J5Q2L,HB12W1BX7T,100083,7
VR4D8T5D5J2B,IG32O9QG0A,100084,3
BX5X3A2G6H8L,RQ38M2RZ7Q,100085,3
KN8M5Q1P4E4R,PL78L7QX6K,100086,50
BO5W0G0Y8A2Z,HA88W0KF7V,100087,6
OF2R4R9U2D3P,SJ99B2UW5Y,100088,7
KQ0F9Z3E1U7B,JV58M0NA5F,100089,3
BN2H7N7R8O9G,LR82C4KY1W,100090,7
XN2B6K3H7Z8K,SP94P7YR4Q,100091,50
JU4K2P8X7X1R,FR07Z1DH6K,100092,1
IP2I5S3S0Z1Y,QH70N8LP8E,100093,1
KP9E9D7F7T9M,AZ34M9AN4N,100094,7
RM7K8C3F3F7M,GP41T6QO3Z,100095,1
QZ6A2D2R2T6B,SE64T5ZC3C,100096,6
FK8X1T1W8H3D,YS27K8AB7J,100097,50
RK4U8O2Y8G7M,KN15T6KF0Y,100098,6
FM5I4Z9P5U7E,BI19K8QC3U,100099,6
RA2H5X5S2N7H,MQ03Q8BE1M,100100,3
XV3V7D9X4B0U,IL77J5DK7I,100101,1
QM8D3H4L9R7F,FZ01C0JI1X,100102,1
UI2T7K9A8W6T,WI27V5UI3I,100103,1
XY9D3L6R1L5W,MD08V9DT9W,100104,1
LC7H7W3T9E6B,BW46K6GU2D,100105,6
PW1D9S0T5Y0P,CP11X8GN5O,100106,50
PZ1E1N4I7E3O,IU84K1YH2G,100107,50
SW9C6F7N0Z9W,RR00A5YT1R,100108,1
TF2D1T6I0Q6Y,CO59M1NA9Y,100109,6
IG6W4O3A6E8Q,UY87L7YM7M,100110,50
WK1M8X1D4U1F,PM58V3NX6M,100111,7
WA1E9Y5B7K3A,BS38H7VQ1D,100112,50
ID3C1O0B7X1J,EG73V1AN8N,100113,1
SU9D5A2P0Q9M,AJ48A1VR5V,100114,3
RG3G4S6I3O4F,NJ93J2JZ9E,100115,50
GP8N4P1V8J1N,PI39T3QK9R,100116,7
TK5H2P9U9P6P,AP57K9QA6O,100117,7
XH8Z6K7W5D2V,PO06A9FK6N,100118,50
IT9U7E7O6O6R,GF30M8GT6H,100119,1
OM3E9W2B2M9O,GF56V1RK5T,100120,50
DT3H1U9L4V3C,RS75X5LD3F,100121,50
CW1R4X0X9M7J,ZJ80M8BG0W,100122,3
US2Y6C2Y5S1N,IY34M2MD4K,100123,50
VF6H4P4Z7G4F,DY28D5RY8Z,100124,50
KR7D6Q9O9U2M,XI56W2BJ9S,100125,3
FZ8C0R1U9Y3H,DP73H9KC4K,100126,1
LM5W5U8I9K3R,IU86H8SZ8S,100127,6
KB4J9Z6O4M7Y,LJ10U0CT4G,100128,50
ZP7X3T1C5I3P,CD95M5GH8I,100129,50
XV5E8H6K5A9H,VQ13I3YI4P,100130,50
QZ8U7G8L0N9U,DH49J9JU8Z,100131,1
BZ1Y4C1O8W8A,BC57G9NT4U,100132,3
VS8M7H8D3B4A,VC30T1OY2V,100133,6
AA9R6D6B2B7I,KA48W4XL6V,100134,50
OU0W8B9G1G2P,NR77R4CA1D,100135,6
GS7E6T3X8A7B,WI00P3AC1I,100136,7
IO3R9D6J0S0A,NJ94C0ZC3O,100137,50
CU6U1E2V0U2B,MY67Z3NH8V,100138,50
FJ3X0B5J1S9U,EX29Z7JI0S,100139,7
PC6P0F1M0G8W,YU36Y3NT2W,100140,7
RL2G0V0W0N5C,OR24A4SK7T,100141,50
UH6I1X9Q5E2S,XB39I0TT3R,100142,3
CA8C3X8T3F3T,RT49B5CC2M,100143,1
YO8X5N3V5A9L,NO95A7SE2L,100144,1
PL7X1P1V9Y4V,ZW85D3JJ8O,100145,50
CN8O4G3P8U0O,PM16D2BH9W,100146,7
AF5K9H9P5R5J,ZH97O4XM8B,100147,1
OZ5W4W0P0X3A,HK42N1ZM3C,100148,50
LS1Q0R7K2U5K,FX75M6MZ3E,100149,3
AQ7I5R3O4X1R,TE97O1VN6Q,100150,3
WC3X6T9K5T8U,IM52G0AH7P,100151,7
AF3I8F5L4Y1H,AY30H4MQ5K,100152,50
AK1G7F7W6P8S,LW80Q2CC3Y,100153,3
KK7I4L6R5E9Z,XL84D8OF8A,100154,3
FO1H3X3Z4V5L,IO06P4UL8W,100155,7
DH9E0H3U0G3D,IC21G0SU1U,100156,1
PG8Z0T9J9T2S,RB08V4RQ9Q,100157,1
GI3P2F5Z6M2P,GF15E4DW8O,100158,50
ML6M0T5F7M5X,XP41Q6EW1Q,100159,3
BO6N5K7H2O1O,XJ82O8JX1W,100160,3
IB4N1T1C6P5K,MR85D0KB5P,100161,50
SU8M5L3S4P4U,MK63A0OV6F,100162,1
