Order_Item_Id,order_id,product_id,Quantity,price
SZ7W5K0Q5K9X,O500000,100000,7,790.07
LE1K3T5J4S5P,O500001,100001,6,58.05
OD5K4E5T0J3O,O500002,100002,6,536.42
WU8P4F3D1Q2L,O500003,100003,50,269.09
CM3I5S8S6B8H,O500004,100004,7,35.56
OG9P2E1G8A7Q,O500005,100005,1,986.24
UN3R5D0R7E5Z,O500006,100006,7,769.21
WM0V4N2T4V0S,O500007,100007,50,316.13
JO5U2B7C8C9X,O500008,100008,3,764.02
GQ5A3R8B2V1U,O500009,100009,1,345.42
MK9L8L1J2N6Y,O500010,100010,6,343.6
TM7H0L8K8W0O,O500011,100011,50,52.18
EI9S8D5W8J1M,O500012,100012,6,429.7
WY9Q3G4R0U0W,O500013,100013,3,546.8
DQ0G0M5E6W3N,O500014,100014,3,600.26
SO4N1R0V5O5C,O500015,100015,1,338.89
ZM1N5S7P7U3L,O500016,100016,50,425.82
DO1T4T2L5M5P,O500017,100017,3,945.13
WP4O8S5M9E4W,O500018,100018,1,415.02
CC9O6F3G2I8N,O500019,100019,3,57.83
LX1D0N7X3M1J,O500020,100020,3,186.4
NP3E8G9N5Q3K,O500021,100021,3,298.22
HZ8V1K5V6Y5C,O500022,100022,3,154.64
WW8E2A9I3E6O,O500023,100023,7,432.91
OP6S6G9S0I3M,O500024,100024,7,867.67
QJ1T0U0F1X1Y,O500025,100025,6,154.47
DJ5C3G7X7D0J,O500026,100026,1,359.57
PT2G7S7B9K7H,O500027,100027,50,556.29
IN9J8G9C9Q9X,O500028,100028,7,491.51
ZF3R8F3L0D3M,O500029,100029,7,186.12
TB2O7G8W3Z0Q,O500030,100030,6,574.35
VF8N5W5N2Y3D,O500031,100031,50,28.34
DN3G9I1S0Y8U,O500032,100032,1,343.89
WF6V1V9X2H9P,O500033,100033,3,857.72
EE8O8X2L0L4P,O500034,100034,1,62.54
NM4E1X7R8Q9Q,O500035,100035,7,54.1
UE9C9U0U9Q8Y,O500036,100036,6,983.31
NV1U9K3Q0R9F,O500037,100037,6,382.56
WV7O4K5U1F8M,O500038,100038,7,558.78
HK8T1A6P4E4Z,O500039,100039,3,982.63
IC2Q5S1X9A7H,O500040,100040,6,271.02
MN5S2R8X5L8C,O500041,100041,1,525.94
ZH4B3G8L9T6L,O500042,100042,3,538.26
HW6C7J9U3M3M,O500043,100043,7,850.42
AQ3O5H4Z2Q6I,O500044,100044,1,324.91
OU9H5X9N6T9Q,O500045,100045,1,503.07
PX9J3Y0S9T7V,O500046,100046,7,713.96
MW5L1Y9B4T9O,O500047,100047,7,256.9
OG6X2M2K4H8V,O500048,100048,1,713.95
XV9S7F8T7R7Z,O500049,100049,7,322.25
YZ7Q1L8G0O8H,O500050,100050,1,732.43
IF9B8Q3Y8R5B,O500051,100051,6,649
PR7S2E1E4O0V,O500052,100052,1,161.04
YK5X3R1F6O2Q,O500053,100053,6,476.84
JK5T0S1H9V5U,O500054,100054,7,684.68
NK7H6C0S6V1N,O500055,100055,3,986.31
ZU5B3Y0F0G6E,O500056,100056,1,830.14
BG3V6B7P7R7G,O500057,100057,1,361.11
RU8Y7I7Q2B2K,O500058,100058,50,638.77
DW6X8W8Y1F8Y,O500059,100059,1,514.88
NU5T2L3S4J3V,O500060,100060,7,714.38
YI0H2Z1P9R0Z,O500061,100061,6,386.62
EZ9R2B6S6M0B,O500062,100062,3,789.71
WN7Q3V3G0E7U,O500063,100063,3,397.43
ZD8T4E4V7J0T,O500064,100064,3,717.5
WS5O4O1G5N7M,O500065,100065,7,549.19
DI4E8N8V3M4E,O500066,100066,50,134.98
ED8V9M3E1Z4L,O500067,100067,50,308.05
RG7V1C9R7Z7C,O500068,100068,3,608.54
PY8R8V4Q4L4D,O500069,100069,1,174.36
AO6L8N8I7W1D,O500070,100070,3,56.5
OI9H8S8K9P6V,O500071,100071,50,672.11
