payment_id,order_id,payment_date,amount,payment_method,payment_status
1,O500000,2025-05-03,998.71,Bank Transfer,Completed
2,O500001,2024-12-28,621.05,Debit Card,Pending
3,O500002,2024-06-21,381,Debit Card,Completed
4,O500003,2025-03-08,165.9,Credit Card,Failed
5,O500004,2025-06-29,206.23,PayPal,Failed
6,O500005,2024-12-29,984.34,Debit Card,Pending
7,O500006,2024-02-27,443.35,Bank Transfer,Completed
8,O500007,2025-02-12,938.82,Credit Card,Completed
9,O500008,2024-10-23,83.96,UPI,Pending
10,O500009,2024-10-03,118.53,PayPal,Pending
11,O500010,2024-04-30,470.25,Debit Card,Failed
12,O500011,2025-04-29,531.86,UPI,Completed
13,O500012,2024-03-06,786.95,PayPal,Failed
14,O500013,2024-01-08,513.37,Bank Transfer,Completed
15,O500014,2023-08-07,576.03,UPI,Failed
16,O500015,2023-07-13,429.08,UPI,Refunded
17,O500016,2025-04-20,156.88,Bank Transfer,Failed
18,O500017,2023-10-14,334.91,PayPal,Completed
19,O500018,2023-08-27,94.4,Bank Transfer,Refunded
20,O500019,2024-12-25,378.7,PayPal,Failed
21,O500020,2024-10-26,92.95,UPI,Refunded
22,O500021,2025-01-02,482.68,UPI,Failed
23,O500022,2024-05-25,704.26,UPI,Failed
24,O500023,2024-03-16,852.76,UPI,Completed
25,O500024,2024-11-28,959.25,Credit Card,Pending
26,O500025,2024-12-21,917.31,Credit Card,Refunded
27,O500026,2023-08-10,833.6,Credit Card,Pending
28,O500027,2024-03-17,56.47,Credit Card,Completed
29,O500028,2024-11-09,757.7,PayPal,Completed
30,O500029,2024-11-22,68.01,Debit Card,Failed
31,O500030,2024-08-21,495.48,UPI,Failed
32,O500031,2024-02-03,358.31,UPI,Failed
33,O500032,2025-03-16,533.31,Debit Card,Pending
34,O500033,2025-01-29,457.23,UPI,Failed
35,O500034,2024-07-08,14.04,Credit Card,Failed
36,O500035,2023-12-13,39,UPI,Failed
37,O500036,2025-04-12,962.32,Debit Card,Refunded
38,O500037,2024-10-05,289.14,UPI,Completed
39,O500038,2025-01-12,983.57,Debit Card,Pending
40,O500039,2023-10-20,571.06,UPI,Pending
41,O500040,2024-11-25,817.32,Bank Transfer,Completed
42,O500041,2025-03-22,459.84,UPI,Pending
43,O500042,2025-01-15,279.61,Bank Transfer,Failed
44,O500043,2023-09-07,291.17,Debit Card,Completed
45,O500044,2023-09-21,974.24,Debit Card,Pending
46,O500045,2025-02-01,90.86,UPI,Pending
47,O500046,2023-09-04,742.45,Credit Card,Failed
48,O500047,2023-08-03,538.33,Debit Card,Pending
49,O500048,2024-08-26,699.28,Debit Card,Refunded
50,O500049,2025-06-01,949.31,UPI,Refunded
51,O500050,2024-02-21,18.77,PayPal,Completed
52,O500051,2025-06-21,202.08,Debit Card,Pending
53,O500052,2024-12-11,588.55,Credit Card,Completed
54,O500053,2024-12-17,782.54,Debit Card,Pending
55,O500054,2024-07-27,251.29,Credit Card,Failed
56,O500055,2024-03-24,446.45,PayPal,Refunded
57,O500056,2024-08-19,544.22,Credit Card,Failed
58,O500057,2024-07-03,867.79,PayPal,Refunded
59,O500058,2024-05-26,39.52,PayPal,Refunded
60,O500059,2023-10-02,130.45,UPI,Failed
61,O500060,2025-03-23,827.97,PayPal,Refunded
62,O500061,2023-12-31,22.07,Credit Card,Completed
63,O500062,2025-06-15,340.05,Credit Card,Completed
64,O500063,2025-05-02,527.02,PayPal,Completed
65,O500064,2024-10-13,14.01,PayPal,Refunded
66,O500065,2025-06-29,54.38,Credit Card,Failed
67,O500066,2023-10-26,408.25,Debit Card,Refunded
68,O500067,2023-12-01,314.29,PayPal,Pending
69,O500068,2025-02-28,236.86,UPI,Refunded
70,O500069,2024-01-26,613.46,Bank Transfer,Refunded
71,O500070,2024-04-01,952.9,PayPal,Pending
72,O500071,2024-01-14,880.87,Credit Card,Completed
73,O500072,2025-06-27,517.87,UPI,Refunded
74,O500073,2024-02-19,64.34,UPI,Pending
75,O500074,2024-08-05,44.36,Credit Card,Completed
76,O500075,2023-11-20,662.93,PayPal,Failed
77,O500076,2024-04-06,828.23,Credit Card,Failed
78,O500077,2025-03-26,961.05,Debit Card,Failed
79,O500078,2024-03-10,667.87,UPI,Pending
80,O500079,2025-02-23,618.3,UPI,Failed
81,O500080,2023-09-21,966.94,PayPal,Pending
82,O500081,2025-01-10,785.63,PayPal,Completed
83,O500082,2024-08-13,637.18,UPI,Completed
84,O500083,2025-05-07,398.27,UPI,Completed
85,O500084,2024-11-23,177.79,Bank Transfer,Refunded
86,O500085,2025-04-30,229.49,Debit Card,Pending
87,O500086,2025-03-19,843.63,PayPal,Pending
88,O500087,2025-06-04,332.32,UPI,Completed
89,O500088,2024-04-07,690.14,Debit Card,Failed
90,O500089,2024-05-03,930.17,UPI,Pending
91,O500090,2023-10-12,618.6,UPI,Refunded
92,O500091,2023-10-27,66.17,PayPal,Completed
93,O500092,2023-10-15,233.24,Debit Card,Pending
94,O500093,2023-07-14,51.89,PayPal,Pending
95,O500094,2024-10-29,433.08,Bank Transfer,Refunded
96,O500095,2023-11-01,191.96,Credit Card,Completed
97,O500096,2024-06-08,33.87,Debit Card,Refunded
98,O500097,2024-05-22,717.28,Debit Card,Pending
99,O500098,2024-03-18,750.73,UPI,Failed
100,O500099,2023-09-15,380.4,PayPal,Failed
101,O500100,2024-06-25,185.55,Credit Card,Refunded
102,O500101,2024-01-07,455.64,Credit Card,Failed
103,O500102,2024-01-13,776.43,PayPal,Failed
104,O500103,2024-10-20,233.34,UPI,Refunded
105,O500104,2025-05-20,33.12,UPI,Pending
106,O500105,2024-11-16,458.27,Credit Card,Completed
107,O500106,2024-10-07,606.63,Debit Card,Pending
108,O500107,2025-03-31,537.39,Credit Card,Pending
109,O500108,2024-06-10,235.78,PayPal,Pending
110,O500109,2024-09-05,602.54,UPI,Pending
111,O500110,2025-07-06,562.07,PayPal,Refunded
112,O500111,2024-03-16,515.36,Bank Transfer,Failed
113,O500112,2024-05-23,436.11,UPI,Pending
114,O500113,2025-03-24,154.54,UPI,Completed
115,O500114,2024-01-28,73.8,Bank Transfer,Completed
116,O500115,2025-03-01,973.93,PayPal,Refunded
117,O500116,2025-06-25,674.09,Credit Card,Failed
118,O500117,2024-06-30,31.14,Credit Card,Completed
119,O500118,2025-04-10,400.33,PayPal,Failed
120,O500119,2024-08-23,354.29,Debit Card,Pending
121,O500120,2024-04-19,974.99,Bank Transfer,Failed
122,O500121,2024-02-29,836.81,Debit Card,Pending
123,O500122,2024-11-23,942.51,UPI,Refunded
124,O500123,2023-08-25,228.55,Bank Transfer,Failed
125,O500124,2024-06-14,309.73,PayPal,Completed
126,O500125,2025-01-25,63.74,Bank Transfer,Completed
127,O500126,2024-02-07,384.18,Debit Card,Failed
128,O500127,2023-12-15,175.91,UPI,Failed
129,O500128,2025-02-11,112.01,Debit Card,Refunded
130,O500129,2024-04-29,381.36,Credit Card,Refunded
131,O500130,2023-08-06,881.58,PayPal,Refunded
132,O500131,2024-05-02,92.15,Credit Card,Refunded
133,O500132,2025-06-08,202.78,PayPal,Failed
134,O500133,2024-01-03,837.45,Bank Transfer,Pending
135,O500134,2024-05-17,728.04,Bank Transfer,Refunded
136,O500135,2023-07-14,663.82,PayPal,Pending
137,O500136,2024-10-16,58.71,Bank Transfer,Pending
138,O500137,2023-11-19,933.18,UPI,Pending
139,O500138,2024-12-23,405.29,PayPal,Pending
140,O500139,2024-10-27,986.97,Debit Card,Pending
141,O500140,2023-08-01,705.81,Credit Card,Refunded
142,O500141,2024-11-19,682.37,Bank Transfer,Failed
143,O500142,2023-07-18,963.88,Debit Card,Refunded
144,O500143,2025-01-26,262.42,Credit Card,Refunded
145,O500144,2024-12-08,973.36,Credit Card,Pending
146,O500145,2023-08-15,293.71,Bank Transfer,Failed
147,O500146,2023-11-08,436.56,Bank Transfer,Failed
148,O500147,2023-08-21,979.62,Debit Card,Completed
149,O500148,2024-01-27,483.89,Debit Card,Pending
