review_id,Customer_ID,product_id,rating,comment,review_date
1,CUST046657,100000,5,Too expensive.,2024-09-19
2,CUST369743,100001,5,Very satisfied.,2024-09-15
3,CUST513148,100002,1,Excellent service!,2024-09-13
4,CUST492086,100003,5,Average experience.,2024-10-07
5,CUST643477,100004,4,Item was missing.,2024-10-16
6,CUST075864,100005,1,Item was missing.,2024-08-23
7,CUST128049,100006,2,Quick delivery.,2024-10-03
8,CUST333991,100007,4,Quick delivery.,2024-07-23
9,CUST677441,100008,5,Item was missing.,2025-06-14
10,CUST233932,100009,3,Average experience.,2025-01-19
11,CUST391699,100010,1,Item was missing.,2025-03-06
12,CUST995272,100011,3,Great packaging.,2024-07-20
13,CUST939706,100012,5,Very satisfied.,2024-07-14
14,CUST817952,100013,3,Five stars!,2024-10-01
15,CUST338183,100014,5,Great packaging.,2025-04-21
16,CUST004050,100015,5,Average experience.,2025-07-02
17,CUST356523,100016,1,Five stars!,2025-03-18
18,CUST552648,100017,3,Item was missing.,2024-09-10
19,CUST493528,100018,3,Item was missing.,2025-01-24
20,CUST964034,100019,5,Item was missing.,2025-04-01
21,CUST002660,100020,4,Not as described.,2025-03-15
22,CUST657240,100021,3,Will buy again.,2024-08-02
23,CUST684833,100022,1,Good quality.,2025-05-27
24,CUST651624,100023,2,Package arrived damaged.,2024-11-22
25,CUST365687,100024,3,Will buy again.,2024-11-06
26,CUST757676,100025,2,Will buy again.,2024-10-16
27,CUST759366,100026,5,Excellent service!,2025-03-26
28,CUST555018,100027,5,Too expensive.,2025-01-17
29,CUST783169,100028,3,Poor communication.,2024-07-25
30,CUST065535,100029,1,Good quality.,2024-12-11
31,CUST251420,100030,5,Quick delivery.,2024-12-10
32,CUST929159,100031,2,Too expensive.,2025-03-11
33,CUST188632,100032,3,Would not recommend.,2025-04-08
34,CUST215598,100033,2,Quick delivery.,2024-10-27
35,CUST584723,100034,5,Average experience.,2025-02-23
36,CUST045016,100035,3,Would not recommend.,2025-04-04
37,CUST186057,100036,5,Quick delivery.,2024-12-04
38,CUST095874,100037,5,Very satisfied.,2025-04-28
39,CUST532498,100038,5,Average experience.,2024-11-25
40,CUST132364,100039,2,Five stars!,2025-01-21
41,CUST803094,100040,5,Poor communication.,2024-09-26
42,CUST115503,100041,4,Item was missing.,2025-03-12
43,CUST933458,100042,2,Not as described.,2024-07-23
44,CUST495719,100043,1,Poor communication.,2025-06-03
45,CUST530573,100044,4,Great packaging.,2025-06-19
46,CUST397947,100045,4,Very satisfied.,2024-11-02
47,CUST989493,100046,5,Would not recommend.,2024-09-11
48,CUST388058,100047,2,Very satisfied.,2025-01-05
49,CUST343503,100048,1,Good quality.,2025-06-13
50,CUST608768,100049,3,Would not recommend.,2025-03-28
51,CUST017086,100050,4,Five stars!,2025-06-17
52,CUST716782,100051,2,Good quality.,2025-03-02
53,CUST263290,100052,1,Excellent service!,2024-10-29
54,CUST718136,100053,3,Poor communication.,2025-05-04
55,CUST992106,100054,3,Package arrived damaged.,2025-01-31
56,CUST478558,100055,1,Will buy again.,2025-06-28
57,CUST323961,100056,4,Too expensive.,2024-12-11
58,CUST188191,100057,5,Good quality.,2025-04-18
59,CUST907944,100058,4,Excellent service!,2025-04-28
60,CUST454927,100059,3,Will buy again.,2024-11-28
61,CUST967234,100060,2,Good quality.,2025-05-30
62,CUST070710,100061,3,Five stars!,2025-04-03
63,CUST357307,100062,2,Package arrived damaged.,2024-09-23
64,CUST572734,100063,4,Too expensive.,2025-02-02
65,CUST168069,100064,4,Package arrived damaged.,2025-03-30
66,CUST360427,100065,3,Item was missing.,2025-02-06
67,CUST667670,100066,5,Will buy again.,2024-10-10
68,CUST376939,100067,1,Would not recommend.,2025-02-22
69,CUST069569,100068,5,Item was missing.,2024-09-08
70,CUST214593,100069,3,Package arrived damaged.,2024-11-01
71,CUST922217,100070,5,Highly recommended!,2025-03-26
72,CUST775092,100071,1,Poor communication.,2024-09-27
73,CUST043911,100072,3,Average experience.,2025-01-06
74,CUST302717,100073,2,Very satisfied.,2025-02-11
75,CUST651823,100074,3,Item was missing.,2025-01-28
76,CUST714158,100075,5,Not as described.,2025-03-27
77,CUST526754,100076,2,Would not recommend.,2024-12-08
78,CUST697866,100077,4,Not as described.,2025-01-29
79,CUST909609,100078,4,Excellent service!,2025-01-29
80,CUST718256,100079,5,Would not recommend.,2024-12-31
81,CUST617974,100080,3,Very satisfied.,2024-11-17
82,CUST772003,100081,2,Poor communication.,2025-04-28
83,CUST007841,100082,1,Quick delivery.,2025-03-27
84,CUST514652,100083,1,Average experience.,2024-12-05
85,CUST590390,100084,5,Poor communication.,2025-02-03
86,CUST209827,100085,3,Quick delivery.,2025-02-24
87,CUST279695,100086,3,Five stars!,2025-06-17
88,CUST810999,100087,5,Will buy again.,2025-03-21
89,CUST766514,100088,1,Excellent service!,2025-01-11
90,CUST430950,100089,4,Not as described.,2025-03-19
91,CUST866896,100090,4,Package arrived damaged.,2024-10-02
92,CUST362407,100091,1,Poor communication.,2024-07-17
93,CUST244633,100092,4,Five stars!,2025-07-04
94,CUST883223,100093,1,Poor communication.,2024-11-05
95,CUST014250,100094,1,Will buy again.,2024-08-09
96,CUST669437,100095,2,Average experience.,2024-12-12
97,CUST400674,100096,4,Highly recommended!,2024-10-13
98,CUST734453,100097,4,Package arrived damaged.,2024-08-22
99,CUST865412,100098,4,Average experience.,2024-10-13
100,CUST783367,100099,5,Too expensive.,2025-01-24
101,CUST006730,100100,3,Quick delivery.,2024-10-15
102,CUST541542,100101,1,Package arrived damaged.,2025-05-29
103,CUST608485,100102,2,Will buy again.,2024-07-19
104,CUST375071,100103,2,Package arrived damaged.,2024-12-13
105,CUST272117,100104,4,Highly recommended!,2024-07-18
106,CUST388151,100105,1,Package arrived damaged.,2025-05-14
107,CUST917168,100106,5,Quick delivery.,2025-05-01
108,CUST276609,100107,3,Very satisfied.,2024-08-16
109,CUST697903,100108,4,Will buy again.,2024-08-04
110,CUST774701,100109,3,Will buy again.,2025-05-28
111,CUST716950,100110,3,Very satisfied.,2025-03-09
112,CUST709296,100111,4,Not as described.,2025-04-14
113,CUST453860,100112,1,Package arrived damaged.,2025-06-11
114,CUST577856,100113,4,Average experience.,2024-08-11
115,CUST725103,100114,5,Too expensive.,2025-01-15
116,CUST995971,100115,3,Too expensive.,2025-05-10
117,CUST087232,100116,3,Great packaging.,2024-08-22
118,CUST728785,100117,1,Quick delivery.,2025-02-03
119,CUST332364,100118,3,Very satisfied.,2025-03-20
120,CUST637817,100119,4,Quick delivery.,2025-06-30
121,CUST650551,100120,4,Not as described.,2025-01-12
122,CUST272270,100121,2,Will buy again.,2025-04-03
123,CUST393171,100122,1,Very satisfied.,2025-01-04
124,CUST669104,100123,3,Poor communication.,2024-08-19
125,CUST367112,100124,3,Not as described.,2025-01-09
126,CUST479888,100125,1,Very satisfied.,2025-01-06
127,CUST212356,100126,5,Good quality.,2025-02-01
128,CUST999105,100127,4,Quick delivery.,2025-03-22
129,CUST317219,100128,3,Great packaging.,2025-01-31
130,CUST133389,100129,1,Good quality.,2024-10-05
131,CUST328534,100130,2,Great packaging.,2025-01-31
132,CUST321307,100131,1,Great packaging.,2024-12-05
133,CUST686344,100132,5,Would not recommend.,2025-05-31
134,CUST749087,100133,2,Poor communication.,2025-02-09
135,CUST558941,100134,3,Would not recommend.,2024-09-26
136,CUST567597,100135,1,Package arrived damaged.,2025-03-26
137,CUST189933,100136,3,Very satisfied.,2025-05-14
138,CUST115725,100137,5,Great packaging.,2025-03-19
139,CUST928932,100138,5,Poor communication.,2025-03-10
140,CUST488526,100139,2,Good quality.,2025-01-25
141,CUST957851,100140,3,Great packaging.,2025-01-28
142,CUST688801,100141,2,Highly recommended!,2024-11-21
143,CUST300080,100142,3,Very satisfied.,2024-12-19
144,CUST882640,100143,4,Highly recommended!,2024-07-24
145,CUST090298,100144,1,Quick delivery.,2025-04-13
146,CUST218836,100145,2,Excellent service!,2025-05-15
147,CUST887609,100146,1,Package arrived damaged.,2024-07-11
