shipping_id,order_id,shipping_method,tracking_number,shipping_status,shipped_date
1,O500000,Express,CB1A0975,Delivered,2025-07-06
2,O500001,Overnight,15791BC3,Pending,2025-06-09
3,O500002,Standard,A99C1407,Shipped,2025-06-10
4,O500003,Two-Day,A1992E23,In Transit,2025-06-23
5,O500004,Overnight,6679BD34,Pending,2025-06-17
6,O500005,Express,B0454757,Delivered,2025-06-26
7,O500006,Two-Day,54C89A3B,Pending,2025-06-28
8,O500007,Express,81740D5E,Shipped,2025-06-16
9,O500008,Two-Day,E7262EB6,Pending,2025-06-16
10,O500009,Two-Day,E87E31BC,Delivered,2025-06-26
11,O500010,Standard,5A49E4FA,Cancelled,2025-07-09
12,O500011,Two-Day,40D3FABB,Delivered,2025-06-26
13,O500012,Express,B57B670E,Pending,2025-06-17
14,O500013,Express,C2C06C01,In Transit,2025-07-07
15,O500014,Express,F667A09B,Delivered,2025-06-24
16,O500015,Standard,ED433705,Shipped,2025-06-18
17,O500016,Express,8D63D1F8,Pending,2025-06-17
18,O500017,Overnight,0B696015,Shipped,2025-06-29
19,O500018,Standard,84700C97,Delivered,2025-07-05
20,O500019,Two-Day,6E0D0FF3,Shipped,2025-06-25
21,O500020,Overnight,132D08AA,Shipped,2025-07-05
22,O500021,Standard,CE52DBC8,In Transit,2025-06-16
23,O500022,Express,411FD7A3,Cancelled,2025-06-10
24,O500023,Standard,DE054ABF,In Transit,2025-06-30
25,O500024,Two-Day,7D2B499B,Cancelled,2025-06-27
26,O500025,Two-Day,9C8BB7E0,Shipped,2025-06-21
27,O500026,Two-Day,F710C854,Pending,2025-06-25
28,O500027,Express,61873D36,Shipped,2025-06-18
29,O500028,Express,0848F5D5,Shipped,2025-06-18
30,O500029,Standard,B319492B,Delivered,2025-06-09
31,O500030,Two-Day,67D55D66,In Transit,2025-07-04
32,O500031,Overnight,EC7351BD,Cancelled,2025-07-03
33,O500032,Express,9076DA28,Pending,2025-06-23
34,O500033,Standard,D6FA73D7,Pending,2025-06-13
35,O500034,Overnight,E78DD311,Pending,2025-06-15
36,O500035,Two-Day,3F142942,Cancelled,2025-07-05
37,O500036,Overnight,DB4E35E9,In Transit,2025-06-26
38,O500037,Overnight,655FBC4D,Pending,2025-06-11
39,O500038,Express,A2B4F4E4,In Transit,2025-06-13
40,O500039,Overnight,4183816,Shipped,2025-07-07
41,O500040,Standard,93A8C332,Pending,2025-06-25
42,O500041,Overnight,8B734498,Delivered,2025-06-27
43,O500042,Express,EE88628C,In Transit,2025-07-08
44,O500043,Standard,016D6653,Delivered,2025-07-03
45,O500044,Express,C628E685,In Transit,2025-06-10
46,O500045,Express,6BD7D1EF,Cancelled,2025-07-05
47,O500046,Standard,D9608727,Delivered,2025-07-04
48,O500047,Express,65612601,Cancelled,2025-07-07
49,O500048,Overnight,8EC80B34,Delivered,2025-07-03
50,O500049,Overnight,03DBF0A2,Delivered,2025-07-04
51,O500050,Overnight,A3B4403C,Cancelled,2025-06-28
52,O500051,Two-Day,C7A0D14A,Pending,2025-06-13
53,O500052,Standard,2FCC5B2C,Shipped,2025-06-26
54,O500053,Two-Day,ABFE25F1,Delivered,2025-07-07
