Product Code,Brand,Core Specification,Processor Specification,RAM,ROM,SSD
88EB4558,Motorola,N/A,Snapdragon 7 Gen,12GB,128GB,N/A
416DFEEB,Oppo,Ryzen 5,Ryzen 5,8GB,512GB,256GB
9F975B08,Samsung,N/A,MediaTek Dimensity,8GB,256GB,N/A
73D2A7CC,Sony,i7,i7,12GB,64GB,2TB
CCE0B80D,Microsoft,i7,i7,8GB,128GB,2TB
10A5C53D,HP,i7,i7,16GB,64GB,256GB
14932CAE,Dell,N/A,Apple A-Series,16GB,256GB,N/A
D58FF785,Apple,i7,i7,12GB,128GB,256GB
4FC302CF,Apple,i5,i5,16GB,64GB,1TB
E3CF42BE,Motorola,N/A,MediaTek Dimensity,6GB,64GB,N/A
F54013D6,Apple,N/A,Snapdragon 8 Gen,4GB,256GB,N/A
38604169,Toshiba,N/A,Snapdragon 7s,6GB,512GB,N/A
E1DA13C1,Realme,N/A,Snapdragon 7 Gen,16GB,512GB,N/A
2744030A,Nokia,Ryzen 3,Ryzen 3,12GB,256GB,256GB
9F9A8BA9,Lenovo,i3,i3,6GB,128GB,512GB
00A8F8A0,Samsung,N/A,MediaTek Helio,16GB,256GB,N/A
CF70EFC5,HP,N/A,Apple A-Series,12GB,128GB,N/A
7FE9993A,Google,N/A,Snapdragon 8 Gen,4GB,1TB,N/A
E7692916,Acer,N/A,MediaTek Helio,12GB,256GB,N/A
C215F637,Oppo,i7,i7,16GB,512GB,1TB
651469C2,iQOO,i5,i5,6GB,128GB,1TB
5931B97C,Microsoft,i7,i7,16GB,1TB,1TB
335BA5BE,Sony,Ryzen 5,Ryzen 5,16GB,512GB,2TB
7402DBC0,Nokia,Ryzen 3,Ryzen 3,8GB,64GB,1TB
552EAB5F,Lenovo,Ryzen 5,Ryzen 5,12GB,256GB,512GB
BF018999,Realme,N/A,Snapdragon 7s,8GB,64GB,N/A
37D3F7F4,iQOO,i7,i7,8GB,64GB,2TB
4EBDFE31,HP,i3,i3,32GB,512GB,512GB
